,precision,recall,f1-score,support
0.0,0.881,0.833,0.856,168.0
1.0,0.937,0.956,0.946,434.0
accuracy,0.922,0.922,0.922,0.922
macro avg,0.909,0.895,0.901,602.0
weighted avg,0.921,0.922,0.921,602.0
